"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6661","TC-UI-04 search hammer shows hammer products","UI Tests","2026-08-07","passed","2026-08-07","Home page filters and search","tests\ui\homePageTest\homePage.spec.js","",""
"","553","TC-API-06 get products by search query","Api Tests","2026-08-07","passed","2026-08-07","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","631","TC-API-04 login with wrong password fails","Api Tests","2026-08-07","passed","2026-08-07","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","532","TC-API-05 invoice without bearer token returns 401 or failed","Api Tests","2026-08-07","passed","2026-08-07","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","7789","TC-UI-06 eco-friendly filter shows products with eco badge","UI Tests","2026-08-07","passed","2026-08-07","Home page filters and search","tests\ui\homePageTest\homePage.spec.js","",""
"","15405","TC-UI-01 register login and verify profile @Smoke","UI Tests","2026-08-07","passed","2026-08-07","Register to the application","tests\ui\homePageTest\homePage.spec.js","",""
"","7046","TC-UI-05 filter by Hammer category shows hammers","UI Tests","2026-08-07","passed","2026-08-07","Home page filters and search","tests\ui\homePageTest\homePage.spec.js","",""
"","1921","TC-API-01 register, login, create cart","Api Tests","2026-08-07","passed","2026-08-07","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","12080","TC-UI-03 price range 1-100 and 100-200 validates product prices","UI Tests","2026-08-07","passed","2026-08-07","Home page filters and search","tests\ui\homePageTest\homePage.spec.js","",""
"","524","TC-API-03 get products list is available","Api Tests","2026-08-07","passed","2026-08-07","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","4112","TC-API-02 products, add to cart, verify cart, COD verify invoice created successfully","Api Tests","2026-08-07","passed","2026-08-07","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","34864","TC-UI-02 browse add to cart COD checkout Confirm twice and verify invoice","UI Tests","2026-08-07","passed","2026-08-07","Add to cart and proceed to checkout","tests\ui\homePageTest\addToCartAndPayment.spec.js","",""
